id	prominence	scholarlyOutput	topicCount	name
931	13	4748	38	Yttrium Aluminum Garnet Laser Technologies
932	53	11317	33	Patient-Reported Outcomes in Cardiovascular Health
933	78	11053	53	Corrosion Inhibition Mechanisms in Metal Alloys
934	48	8918	44	Mental Health Strategies for Youth Anxiety Disorders
935	16	3739	36	Image and Video Retrieval Systems
936	28	7806	33	Fertility Preservation Strategies in Cancer Treatment
937	66	9602	41	Dynamic Control Systems for Flexible Manipulators
938	28	8917	39	Cleft Lip and Palate Treatment Innovations
939	29	4632	53	Catalytic Innovations in Asymmetric Synthesis and Characterization
940	70	10574	52	Institutional Change in Public Sector Management Accounting
941	35	10408	72	Technology, Society, and Public Engagement Dynamics
942	75	12692	35	Friction Stir Welding Innovations in Material Strength
943	56	8961	40	Asphaltene Dynamics and Surfactant Interactions in Crude Oil
944	46	7062	50	Biosynthetic Pathways in Antibiotic Production
945	44	7646	59	Multicomponent Reactions in Antimicrobial and Anticancer Development
946	41	7485	57	Fluidized Bed Dynamics and Particle Interaction Models
947	37	7922	37	Memory Dynamics Across Time and Emotion
948	20	8667	72	Interactions of Speech Perception and Prosody
949	74	9156	36	Magnesium Alloys: Microstructure and Mechanical Properties
950	39	6423	53	Optical Properties and Structural Dynamics of Glasses
951	65	12214	33	Metabolic and Hormonal Dynamics in PCOS Management
952	78	11603	52	Enhancing Cereal Quality through Genetic Insights
953	77	12095	35	Bioactive Peptides and Antioxidant Properties in Health
954	78	10098	55	Lignin and Cellulose in Plant Material Applications
955	12	5506	46	Digital Signal Processing Architectures
956	36	5200	96	Cobalt Complexes in Catalytic Epoxidation Reactions
957	34	6225	46	Electron Microscopy and Ion Beam Techniques
958	28	7671	34	Fault Tolerance and Concurrency in Distributed Systems
959	44	7535	41	Raman and Infrared Spectroscopy in Cancer Detection
960	51	7355	32	Matrix-Assisted Techniques in Mass Spectrometry
961	54	8227	40	Magnetorheological Materials in Structural Applications
962	27	6341	35	Cardiac Biomarkers and Patient Management Insights
963	27	4236	38	Conductive Polymers and Their Multifaceted Applications
964	42	8328	68	Plant Defense Mechanisms Against Insect Herbivores
965	60	18978	36	Diversity and Gender Dynamics in Academic Medicine
966	37	6248	58	Laser-Based Detection of Gas Concentrations
967	30	7097	50	Gambling Behavior and Decision-Making Dynamics
968	67	12781	46	Innovative Approaches in Medical Education and Learning
969	7	13753	116	Cultural and Legal Transformations in Russian Society
970	29	9662	50	Machine Learning Applications in Music and Sound
971	60	10019	86	Collective Bargaining and Taxation in Labor Markets
972	27	8068	83	Evolutionary Insights from Fossil Records and Species
973	41	6868	33	Bacillus Proteins and Enzymatic Applications in Biology
974	40	7434	57	Urban Wind Flow and Pollutant Dispersion Dynamics
975	93	20953	36	Sustainable Energy Transition and Community Development
976	33	8181	36	Terahertz Applications in Spectroscopy and Imaging
977	47	14956	31	Control Strategies for Modular Multilevel Converters
978	44	9921	45	Enhancing Emergency Department Care Models
979	30	7913	35	Genetic Diversity and Disease Resistance in Aquatic Species
980	43	9561	34	Vaccine Hesitancy and Measles Immunization Challenges
981	59	8729	39	Interdisciplinary Insights on Particle Dynamics and Life Origins
982	56	6151	39	Luminescent Properties and DNA Interactions of Europium Complexes
983	64	14020	38	Postpartum Depression and Maternal Mental Health Insights
984	66	11283	49	Psychometrics and Test Anxiety Measurement Insights
985	14	7433	35	Squamous Cell Carcinoma Management
986	60	10508	65	Soil Erosion and Sediment Transport Dynamics
987	83	12886	44	Creative Thinking and Gifted Education Frameworks
988	41	6806	36	Innovative Approaches in Software Testing and Development
989	84	12906	40	Corrosion Resistance and Magnesium Oxide in Concrete
990	9	7900	46	Invariants and Structures in Algebraic Geometry
991	19	5363	45	Genotoxicity and Cancer Risk Assessment Framework
992	56	10762	38	Antibiotic Stewardship and Resistance Management
993	56	6472	44	Supercritical Fluid Applications in Extraction Processes
994	82	17503	60	Digital Forensics and Cybersecurity in Social Media
995	27	4638	41	Glutathione Transferase and Ethanol Exposure Effects
996	18	5679	53	Interplay of Behavior and Coloration in Species
997	38	10064	74	Innovative Materials in Conservation and Analysis
998	72	13943	47	Designing Technology for User-Centric Health Solutions
999	14	5355	43	Imaging and Radiation Detection Technologies
1000	78	14019	53	Motivation and Mental Health in Physical Education
1001	9	2396	53	Ion Implantation Techniques in Silicon Materials
1002	62	9512	38	Carotenoid Dynamics in Nutrition and Health
1003	36	7777	40	Predictive Control Models for Complex Systems
1004	78	13515	43	Interpersonal Relations and Mental Health in Youth
1005	34	7593	34	Celiac Disease and Gluten Sensitivity Insights
1006	19	7043	65	Canine and Feline Tumor Management Insights
1007	50	10210	80	Sustainable Practices in Rice and Wheat Cultivation
1008	31	9093	35	Lymphatic Function and Cancer Treatment Insights
1009	15	3598	54	Thermodynamic Properties of Alloy Nanostructures
1010	49	10074	52	Seismic Response and Stability of Reinforced Structures
1011	42	4663	49	Nanostructured Films and Ion Transport Mechanisms
1012	57	11015	50	Aeroelastic Innovations in Aircraft Design and Performance
1013	16	4516	45	Silicon Plasma Dynamics and Etching Innovations
1014	84	11513	33	Tribological Properties and Self-Healing Polymers in Materials
1015	3	7321	111	Renaissance Influence on English Language and Culture
1016	62	8520	44	Dynamics of Group Processes and Decision Making
1017	16	11331	89	Intersectionality and Justice in Black Feminist Discourse
1018	64	7344	36	Silicon Carbide Composites for High-Temperature Applications
1019	30	5700	46	Electrodeposition Techniques for Enhanced Coating Properties
1020	66	12443	61	Climate Change Impacts on Frozen Soil Dynamics
1021	19	7120	79	Insect Diversity and Biological Control Mechanisms
1022	13	6869	87	Cultural Capital and Social Dynamics in Education
1023	9	7622	50	Elliptic Curves and Polynomial Solutions in Number Theory
1024	12	7481	89	Health Care Dynamics in Brazilian Communities
1025	17	6866	44	Error Estimation in Finite Element Methods
1026	42	8847	65	Quality Child Care and Early Education Programs
1027	65	6992	45	Catalytic Innovations in Hydrocarbon Conversion Processes
1028	54	9576	59	Ectomycorrhizal Fungi and Soil Microbiology Dynamics
1029	7	4444	50	Integration of Logic and Knowledge Representation
1030	49	8882	44	Temporomandibular Joint Dynamics and Pain Management
1031	6	5375	56	Computability and Topological Group Dynamics
1032	16	11275	96	Cultural Memory and Historical Narratives in Conflict
1033	87	16437	56	Sustainable Food Systems and Waste Reduction Strategies
1034	48	10019	37	Integration of Robotics and Spacecraft Control Systems
1035	13	4550	37	Parallel Programming and Memory Systems
1036	32	5475	48	Vibrio Pathogenesis and Glycosylation Mechanisms
1037	54	10306	53	Optimizing Poultry Production and Welfare Strategies
1038	26	8207	49	Innovative Approaches in Petroleum Reservoir Management
1039	19	5370	64	Nutrient Dynamics and Toxicity in Aquatic Ecosystems
1040	52	10096	50	Geochemical Insights into Rare Earth Deposits
1041	51	10772	52	Hydraulic Performance and Flow Dynamics in Pumps
1042	20	6541	40	Radiation Exposure and Health Risk Assessment
1043	35	8639	49	Religiosity and Spiritual Care in Health Contexts
1044	58	8513	33	Light-Driven Mechanisms in Plant and Protein Function
1045	37	4868	50	Ruthenium Complexes in Catalysis and Medicine
1046	37	6850	38	Attachment Styles and Parenting Dynamics in Mental Health
1047	15	6516	32	Genetic Insights into Neurofibromatosis and Tumor Dynamics
1048	5	1401	45	Electron Transport and Surface Dynamics in Silicon
1049	57	8919	57	Physiological Responses of Aquatic Species to Environmental Changes
1050	59	8102	42	Click Chemistry Applications in Protein and Polymer Development
1051	16	3644	66	Innovative Approaches in Asymmetric Synthesis Chemistry
1052	24	6870	61	Steel Production and Quality Control
1053	23	5061	40	Dynamics of Financial Markets and Power Law
1054	33	8178	47	Data Visualization Techniques for Enhanced User Engagement
1055	52	9290	36	Quality of Life for Children with Health Needs
1056	36	7583	52	Saffron's Role in Plant Adaptation and Pollination
1057	98	32029	42	Digital Twin Integration in Smart Manufacturing Systems
1058	32	6091	35	Borderline Personality Disorder and Substance Abuse
1059	26	6194	36	Antivenom Development and Phospholipase Interactions
1060	24	7075	37	Cosmic Rays and Dark Matter Interactions
1061	35	7303	38	Seismic Response and Uncertainty in Structural Analysis
1062	84	12944	39	Sustainable Energy Systems and Rural Electrification
1063	68	8852	47	Heavy Metal Management in Aluminum and Bauxite
1064	23	7918	112	Diversity and Applications of Amaranth Species
1065	52	9034	82	Integrating Community Forestry and Environmental Governance
1066	75	9839	42	Risk Management and Optimization in Financial Markets
1067	26	7495	39	Enhancing Childbirth Experiences through Midwifery Practices
1068	31	7123	46	Queueing Models for Service System Optimization
1069	22	8346	54	Consciousness and Cognitive Systems in Human Experience
1070	24	6641	33	Infection Control Strategies in Health Care Settings
1071	66	14423	43	Tunnel Construction and Soil Interaction
1072	72	9080	32	Thermal Conductivity in Advanced Composite Materials
1073	61	11958	51	Malnutrition and Growth Patterns in Children
1074	46	8127	46	Brassinosteroids and Their Impact on Plant Growth
1075	22	6268	37	Lattice-Boltzmann Models in Fluid Dynamics Applications
1076	34	9023	54	Seismic Response and Ground Motion Modeling Insights
1077	20	9029	31	Existence and Stability of Weak Solutions in Fluid Dynamics
1078	58	9647	37	Innovative Strategies for Seismic Vibration Control
1079	39	7406	52	Irrigation Strategies and Genetic Diversity in Fruit Cultivation
1080	68	9419	32	Mushroom Compounds and Their Multifaceted Applications
1081	77	12420	51	Gender Roles and Work-Family Dynamics in Society
1082	24	7084	44	Acupuncture and Its Multifaceted Therapeutic Effects
1083	22	6135	101	Vegetation and Plant Communities under Environmental Factors
1084	33	9093	39	Cochlear Implants and Occupational Noise Exposure
1085	42	5468	46	Crystal Plasticity and Microstructural Dynamics in Alloys
1086	13	6290	62	Interplay of Economic Theories and Monetary Policy
1087	39	6223	43	Integrating Knowledge Systems in Community Development
1088	51	7907	61	Marine Ecosystem Dynamics and Climate Resilience
1089	41	7691	38	Iron-Deficiency Anemia and Nutritional Interventions
1090	17	4039	42	Calcium Signaling and Its Role in Cancer
1091	6	2484	49	Optimizing Query Processing in Information Systems
1092	34	5663	41	Luminescence Properties of Glass Materials
1093	17	6158	32	Platelet Dynamics in Immune Thrombocytopenia Management
1094	41	7810	48	Animal Welfare and Production in Livestock Systems
1095	8	2140	30	Enhancing Device Performance with Germanium and Silicon
1096	19	6324	58	Plasma Control and Thermal Dynamics in Hypersonic Flow
1097	70	11032	53	Ship Emissions and Hydrodynamics
1098	23	5123	36	Rough Set Models in Data Mining Systems
1099	23	6453	74	Sediment Dynamics and Tectonic Influences in River Basins
1100	20	4355	33	Interleukin-33 and Immunoglobulin E in Allergic Responses
1101	23	4954	36	Electromagnetic Field Effects on Cellular Dynamics
1102	30	7478	55	Acoustic Monitoring of Marine Mammal Populations
1103	43	7663	40	Artificial Intelligence in Decision-Making and Game Theory
1104	29	4185	37	Polyoxometalates and Vanadium in Catalytic Applications
1105	34	7761	75	Urban Economic Networks and Regional Development
1106	34	6041	41	Soot Formation and Reaction Mechanisms in Combustion
1107	17	6052	29	Echinococcosis and Cystic Lesions in Humans
1108	25	6409	34	Efficacy and Mechanisms of Antiepileptic Drugs
1109	57	7839	31	Cholesterol Regulation and Bile Acid Interactions
1110	24	3766	44	Controlled Radical Polymerization Techniques
1111	9	2209	34	Fullerene Dynamics and Electronic Properties Exploration
1112	44	6882	43	Laser and Arc Welding Techniques
1113	50	8163	43	Catalytic Transformations in Alcohol Oxidation and Borylation
1114	45	10824	58	Disability Rights and Health Service Accessibility
1115	10	5789	42	Probability Models for Random Processes and Data
1116	18	4311	45	Fuzzy Logic and Neural Systems in Decision Making
1117	73	14268	32	Radiomics and Image Processing in Cancer Diagnosis
1118	22	5545	66	Transformative Learning Spaces in Academic Libraries
1119	31	7092	67	Urban Renewal and Spatial Planning Dynamics
1120	18	6080	60	Innovative Textiles for Enhanced Comfort and Performance
1121	12	5069	35	Optical Systems and Imaging Techniques
1122	30	6623	36	Modeling Granular Flow Dynamics in Engineering Systems
1123	25	4608	32	Hyaluronan and Decorin in Tumor Dynamics
1124	14	3353	40	Nonlinear Optical Properties in Materials
1125	43	9052	32	Canine Behavior and Zoonotic Risks
1126	19	10034	65	Cultural Geography and Affective Urban Landscapes
1127	51	9378	52	Enhancing Crop Yield through Nutrient Management
1128	21	3692	39	Spin States and Magnetic Properties of Iron Compounds
1129	59	8727	56	Conservation Strategies for Biodiversity and Resource Management
1130	29	5369	38	Innovative Ceramic Materials for High-Performance Applications
1131	48	7672	63	Iron and Steel Production Processes
1132	12	6290	45	Spectral Properties and Solutions of Nonlinear Schrödinger Equations
1133	47	6923	47	Innovative Approaches to Metal Recovery and Bioleaching
1134	55	8409	38	Remote Sensing Applications in Marine Ecosystems
1135	55	7334	31	Magnetic Properties and Synthesis of Ferrite Nanoparticles
1136	44	6453	45	Creep Behavior and Microstructure of Superalloys
1137	46	11737	73	Cultural Heritage and Climate Change Resilience
1138	34	7216	33	Vector Control Strategies for Malaria and Filariasis
1139	17	6530	29	Sarcoidosis and Its Multifaceted Clinical Implications
1140	38	7983	40	Sleep Dynamics and Cognitive Performance in Athletes
1141	47	7464	37	Mechanical Vibration Control in Structural Systems
1142	28	5333	35	Chemical Compounds and Their Biological Activities
1143	75	11406	42	Fire Management and Environmental Impact Assessment
1144	29	6397	43	Patient Satisfaction in Health Care Systems
1145	13	7663	59	Philosophical Foundations of Aesthetic Democracy
1146	60	8852	40	Innovative Approaches in Topology Optimization Techniques
1147	77	11702	39	Self-Efficacy and Academic Performance in Education
1148	23	6718	43	Electrostatic Separation and Two-Phase Flow Dynamics
1149	32	6683	40	Quantitative Structure-Activity Relationships in Chemical Modeling
1150	15	5863	46	Polynomial Methods in Approximation and Signal Processing
1151	42	8915	66	Impact of Sports Events on Social Dynamics
1152	16	6282	64	Governance and Economic Transition in China
1153	16	8775	75	Cultural Dynamics in Television and Media
1154	11	5925	39	Stochastic Processes and Phase Transitions in Complex Systems
1155	18	5184	44	Statistical Models for Copula and Dependence Structures
1156	32	6620	32	Celestial Bodies and Their Dynamics
1157	52	8200	35	Water Distribution and Energy Management Systems
1158	5	7815	63	Philosophical Foundations of Ethics and Society
1159	8	3052	39	Spin Glass Dynamics and Phase Transitions
1160	8	5919	38	Algebraic Structures and Their Applications in Logic
1161	53	10979	51	Empowering Student Success through Diverse Learning Experiences
1162	4	7831	101	Political Dynamics and Cultural Heritage in Ancient Greece
1163	96	16740	41	Catalytic Innovations in Organic Pollutant Degradation
1164	31	7064	42	Wind Erosion and Sediment Transport on Mars
1165	17	6552	31	Hearing Loss and Tinnitus Mechanisms
1166	15	2838	46	Ruthenium and Molybdenum Catalysts in Polymerization
1167	95	12090	50	Adaptive Learning Systems and Student Engagement
1168	58	13446	37	Telemedicine's Role in Transforming Healthcare Access
1169	54	7367	53	Digital Platforms and Market Dynamics in Innovation
1170	36	7479	37	Image Enhancement Techniques for Dynamic Range Optimization
1171	39	7105	56	Fire Dynamics and Smoke Management in Tunnels
1172	26	6384	42	Interventions for Behavioral Disorders in Disabilities
1173	12	3947	31	Spline and Wavelet Methods in Interpolation
1174	21	5089	39	Genetically Modified Organisms in Pest Management
1175	28	4502	34	Magnetic Properties and Coordination Complexes in Chemistry
1176	35	11737	71	Cultural Dynamics in Translation and Interpretation
1177	72	8488	36	Collaborative Learning and Self-Regulation in Education
1178	12	2705	51	Radical Mechanisms in Alkaloid Chemistry
1179	72	10771	46	Sustainable Development in Higher Education Practices
1180	44	5663	33	Catalytic Innovations in Hydrogenation and Desulfurization
1181	9	6381	71	Justice, Power, and Health in Society
1182	21	3685	29	Genetic and Neurochemical Factors in Parkinson's Disease
1183	24	5828	38	Hippocampal Dynamics and Anticonvulsant Strategies in Epilepsy
1184	32	6308	51	Risk Management in Chemical Process Safety
1185	24	5124	31	Robotic Control and Interaction
1186	28	6474	43	Diverse Fossil Assemblages and Evolutionary Insights
1187	24	8092	51	Democracy and Marxism in Social Transformation
1188	74	11678	47	Formative Assessment and Student Learning Dynamics
1189	10	9589	73	Cultural Dynamics of Chinese Philosophy and Religion
1190	6	6380	41	Connections Between Modular Forms and Number Theory
1191	7	2115	43	Self-Adaptive Software Architectures for Quality Systems
1192	5	7025	65	Political Identity and Memory in Post-Conflict Contexts
1193	39	5346	41	Corrosion Resistance in Coatings and Materials
1194	24	7744	36	Causal Inference and Argumentation in AI Systems
1195	30	6967	48	Dynamics of Housing Market and Labor Mobility
1196	21	4491	56	Selenium and Sulfur Compounds in Chemical Synthesis
1197	44	7482	38	Dynamics of Interpersonal Relationships and Parenting Styles
1198	13	5528	34	Spatial Audio and Acoustic Measurement
1199	61	10676	32	Vaccination Strategies Against Emerging Viral Threats
1200	22	5269	37	Modeling Material Behavior Under Dynamic Loads
1201	17	6363	74	Innovative Strategies for Mite and Pest Control
1202	38	7167	46	Bioactive Compounds from Marine Fungi
1203	40	9706	51	Music Therapy's Influence on Emotional and Cognitive Development
1204	9	5825	40	Functional Equations in Normed Spaces
1205	23	7805	41	Gas Hydrate Reservoirs and Tectonic Dynamics
1206	59	6645	46	Uranium Contamination and Environmental Impacts
1207	11	4405	45	Equine Health Insights on Laminitis and Performance
1208	64	11352	39	Methane Dynamics and Spontaneous Combustion in Coal
1209	33	5800	38	Dynamic Behavior and Damage Modeling in Materials
1210	36	6889	49	Seed Dormancy and Germination Under Stress
1211	7	1838	35	Context-Aware Systems in Ubiquitous Computing
1212	17	2654	35	Innovative Oligonucleotides in Antisense Applications
1213	46	6443	40	Reliability Methods in Structural Engineering Applications
1214	77	9031	32	Digital Governance and Open Data Transformation
1215	20	7009	47	Phytoplasma Diseases and Insect Communication Mechanisms
1216	47	6666	44	Multimedia Learning Systems and Student Engagement
1217	22	4716	36	Enzyme Mechanisms in Hydroxylation and Oxidation
1218	79	12421	43	Climate Impact on Agricultural Practices and Technology
1219	36	5216	35	Isoflavones and Their Impact on Health
1220	47	8432	45	Spatial Dynamics in Real Estate Valuation Models
1221	8	6153	38	Structure and Properties of Algebraic Systems
1222	21	5512	47	Soil Fauna and Ecosystem Toxicology Insights
1223	20	6323	34	Inertial Navigation and Sensor Calibration
1224	64	9246	39	Corruption, Plagiarism, and Economic Dynamics
1225	20	3580	48	Selenium and Chromium Detection in Environmental Samples
1226	52	10446	51	Mental Health Challenges Among Refugees and Asylum Seekers
1227	28	6583	40	Health Insurance Coverage and Cost Dynamics
1228	12	6173	76	Cultural Dynamics and Health in Pacific Societies
1229	62	11171	33	Autonomous Underwater Vehicle Control Systems
1230	16	5798	31	Coding and Information Storage
1231	66	10932	31	Smart Homes and Activity Recognition Technologies
1232	25	9281	57	Cohesion and Lexical Patterns in Academic Writing
1233	60	11521	34	Autonomous Control Systems for Aerial Vehicles
1234	14	5807	32	Imaging Techniques for Infective Endocarditis Diagnosis
1235	33	6571	33	Patient-Centered Approaches in Health Care Quality
1236	22	8290	32	Causality and Complexity in Time Series Analysis
1237	9	4446	45	Dynamics and Control in Hamiltonian Systems
1238	74	12503	40	Land Use Dynamics and Urban Development Patterns
1239	92	9326	27	Solid Electrolytes for High-Performance Lithium Batteries
1240	14	6522	33	Generalized Inequalities and Transform Methods in Analysis
1241	18	5564	70	Genomic Insights into Plant Species Diversity
1242	16	4124	39	Colorimetry and Image Processing
1243	27	5293	32	Evolutionary Dynamics of Cooperation and Individual Behavior
1244	15	9935	82	Decolonizing Philosophy and Knowledge in Africa
1245	22	5247	39	Nutritional Enhancements in Animal Feed Supplementation
1246	7	5421	33	Topology and Invariants in Manifold Structures
1247	49	8580	30	Climate Change Impacts on Ice Sheet Dynamics
1248	4	6796	86	Intersections of Literature, Philosophy, and Visual Arts
1249	23	4633	36	Ubiquinone Effects on Cancer and Marine Diversity
1250	29	5854	47	Therapeutic Relationships in Psychotherapy Outcomes
1251	28	6852	38	Hydraulic Control Systems and Energy Efficiency Innovations
1252	68	9007	38	Emotional Intelligence and Career Adaptability Insights
1253	2	5378	103	Cultural Narratives and Historical Dynamics in Medieval Europe
1254	73	11304	33	Smart Urban Systems and Citizen Engagement
1255	50	7001	39	Nuclear Reactor Safety and Efficiency
1256	33	7582	63	Educational Policy and Intergenerational Mobility Insights
1257	37	8439	61	Interconnected Urban Design and Architectural Evolution
1258	20	4123	35	Radiochemical Innovations in Nuclear and Stellar Processes
1259	48	6819	52	Innovative Approaches in Forest Management and Biomass Estimation
1260	10	2724	42	Cadmium-Based Solar Cell Technologies
1261	24	6694	68	Biodiversity and Aquaculture in the Mediterranean Sea
1262	45	9624	56	Urban Policy and Livelihood Strategies in the Global South
1263	34	4410	32	Thermal Properties and Applications of Polyimide Films
1264	75	10103	36	Machine Learning Insights into Crystal Structures
1265	54	6709	33	Integrated Approaches to Wastewater Treatment and Soil Enhancement
1266	28	6337	59	Nematode Interactions in Soil and Plant Health
1267	27	5891	40	Thermodynamic Properties of Uranium Dioxide Fuel
1268	17	3633	33	Alcohol Consumption and Its Health Implications
1269	11	6050	81	Gender Dynamics and Political Conflict in Ireland
1270	15	7337	104	Cultural Interactions and Material Practices in Archaeology
1271	52	9961	55	Precision Agriculture through Robotics and Navigation
1272	20	5087	39	Dynamic Properties and Penetration Mechanics of Materials
1273	3	5758	95	Intersections of Music, Film, and Cultural Identity
1274	10	2281	62	Solvent Dynamics and Reaction Mechanisms in Chemistry
1275	28	6944	27	Arctic Sea Ice Dynamics and Environmental Impact
1276	1	5766	69	Romantic Literature and Political Discourse in Poetry
1277	34	6973	50	Stable Isotope Dynamics in Groundwater Systems
1278	36	5114	37	Microstructural Innovations in Alloy Performance
1279	53	6546	31	Silk and Hair Follicle Innovations in Biomaterials
1280	22	6372	48	Childhood Vulnerability and Rights in Diverse Contexts
1281	13	4573	44	Rotorcraft Dynamics and Control in Flight Systems
1282	6	3947	56	Interplay of Relativity and Quantum Physics
1283	46	5979	33	Biomineralization and Structural Innovations in Materials
1284	20	4325	38	Hydrodynamics and Mass Transfer in Reactors
1285	31	6704	49	Masculinity, Gender Identity, and Health Dynamics
1286	50	6991	41	Agroforestry and Biomass in Climate Resilience
1287	38	6766	43	Nutritional Innovations in Pig and Poultry Diets
1288	26	5076	38	Microgravity Effects on Muscle and Cellular Dynamics
1289	33	6219	37	Urban Soundscapes and Health Impacts
1290	28	5808	50	Antioxidant Compounds and Their Therapeutic Potential
1291	30	6444	40	Dynamic Characteristics and Design Innovations in Gear Systems
1292	16	3509	35	Thermoluminescence Properties of Advanced Phosphors
1293	39	7621	31	Understanding Grief through Social and Cultural Lenses
1294	18	7081	48	Ethical Dimensions of Animal Welfare and Research
1295	6	1897	30	Interconnect Reliability and Residual Stress in Thin Films
1296	65	11051	38	Climate Change Impacts on Species Distribution Models
1297	4	6051	77	Intermedial Narratives in Contemporary Literature
1298	23	5684	38	Psychometrics and Rasch Analysis in Education Assessment
1299	3	5506	75	Cultural Memory and Political Dynamics in War Contexts
1300	13	4740	37	Biomechanical Insights into Vehicle-Pedestrian Safety
1301	34	6313	30	Integrated Approaches to Transport Scheduling Optimization
1302	39	8064	32	Enhancing Reproducibility in Psychological Research Practices
1303	12	3873	30	Laser Pulse Dynamics in Plasma Acceleration
1304	45	8959	27	Evidence-Based Practice in Health Service Delivery
1305	35	5515	36	Lubricants and Tribological Performance
1306	5	4613	33	Structure and Properties of Finite Groups
1307	2	5386	81	Religious and Social Transformations in Early Modern England
1308	15	4007	32	High-Pressure Phase Behavior of Earth's Mantle Materials
1309	5	1533	34	Optical Properties and Applications of Lithium Niobate
1310	3	5925	94	Linguistic Roots and Onomastics
1311	14	3865	34	Asbestos Exposure and Malignant Mesothelioma Insights
1312	33	5236	35	Pesticide Impact on Health and Environment
1313	17	7397	64	Indigenous Perspectives on Health and Sovereignty
1314	28	6995	47	DNA Barcoding and Species Identification Techniques
1315	37	5632	53	Marine Ecosystems and Plastic Waste Management
1316	23	5303	41	Thermal Tolerance and Population Dynamics in Reptiles
1317	50	7198	34	Pomegranate Antioxidants and Plant Disease Resistance
1318	75	9174	37	Integrating Technology in Teacher Education Practices
1319	32	5393	34	Geostatistical Models for Spatial Data Interpolation
1320	14	4536	54	Geochronology and Structural Insights in Rift Zones
1321	38	6337	40	Meat Quality and Composition in Livestock
1322	39	5278	35	Risk Perception in Energy Transition
1323	22	4674	40	Sediment Dynamics and Coastal Ecosystem Responses
1324	7	5022	44	Philosophical Foundations of Scientific Realism and Truth
1325	36	6996	77	Islamic Identity and Political Dynamics in Southeast Asia
1326	41	6692	48	Ecosystem Dynamics and Management in Grasslands
1327	26	6083	32	Conservation Strategies for Endangered Marine Species
1328	31	4774	45	Fluorine Chemistry in Synthesis and Catalysis
1329	19	4839	48	Geological Insights into Seismic and Sedimentary Dynamics
1330	43	7440	38	Dynamic Response of Structures to Explosive Loads
1331	84	11072	35	Integration of BIM and IoT in Construction Management
1332	13	8303	68	Justice and Democracy in Legal Frameworks
1333	11	3484	44	Gene Expression and Cardiac Development Insights
1334	2	4908	67	Victorian Literature and Women's Social Dynamics
1335	2	6118	75	Cultural Heritage and Political Dynamics in Ancient Rome
1336	15	2740	39	Tubulin Dynamics and Drug Resistance in Cancer Therapy
1337	51	6095	31	X-Ray Fluorescence Applications in Material Analysis
1338	23	3497	49	Chiral Catalysts and Carbene Transformations in Synthesis
1339	66	9360	40	Critical Thinking Skills in Student Learning Outcomes
1340	10	3809	53	Genetic Traits and Production in Livestock
1341	26	5960	35	Innovative Approaches to Air Traffic Management
1342	10	2960	32	Model-Driven Approaches in Software Engineering
1343	9	5868	46	International Justice and Human Rights Frameworks
1344	40	6675	34	Lunar Exploration and Regolith Utilization Innovations
1345	33	6528	37	Climate Influence on Forest Dynamics and Health
1346	20	5387	42	Dynamic Assessment and Learning in Educational Contexts
1347	12	6315	53	Legal Frameworks and Financial Regulation Dynamics
1348	2	4996	73	Renaissance Perspectives on Medicine and Philosophy
1349	13	5996	59	Social Movements and Environmental Justice Dynamics
1350	11	2114	36	Positron and X-Ray Techniques in Material Analysis
1351	44	7066	41	Consumer Identity and Social Marketing Dynamics
1352	55	6831	32	Innovation and Knowledge Transfer in Industry
1353	32	5251	35	Patents and Technological Innovation in Industry
1354	11	1864	38	Surface Interactions and Catalytic Mechanisms in Reactions
1355	8	2868	27	Optical Properties and Defects in Silica Materials
1356	26	5040	36	Structural Design and Material Performance
1357	54	8354	38	Privacy Dynamics in Social Media and Technology
1358	13	4364	33	Quality Control Innovations in Clinical Biochemistry
1359	22	4935	35	Mastitis Management and Milk Production in Dairy Cattle
1360	14	4306	44	Cultural Competence in Counseling and School Psychology
1361	10	6974	57	Cultural Dynamics and Political Identity in Turkey
1362	2	5532	72	Interconnections of Judaism and Christianity in Theology
1363	50	8496	31	Timber Structural Integrity and Performance Insights
1364	17	3403	50	Tectonic Dynamics and Volcanic Activity in Italy
1365	1	5384	82	Interpreting Biblical Texts through Cultural Contexts
1366	7	4159	29	Fractal Dimensions and Continued Fraction Approximations
1367	29	6110	44	Place Attachment and Mental Health in Rural Communities
1368	25	4391	40	Innovative Materials from Waste for Sustainable Construction
1369	12	4364	33	Enhancing Primary Health Care through Innovative Practices
1370	5	6363	60	Cultural Dynamics of Religion and Society
1371	4	4894	59	Philosophical Foundations of Human Understanding
1372	15	3858	47	Geochemical Insights into Magma and Mineralization
1373	14	4703	46	Bats and Their Ecological Interactions in Diverse Habitats
1374	21	3637	38	Interactions of Soil, Water, and Forest Dynamics
1375	6	2217	28	Modeling and Control of Robotic Systems
1376	9	4890	69	Diversity and Distribution of Coleoptera Species
1377	11	3925	27	Hearing Perception and Speech Recognition Dynamics
1378	34	6470	42	Multimodal Literacy and Digital Storytelling in Education
1379	19	3630	42	Eutrophication Dynamics in Baltic Sea Ecosystems
1380	14	2940	34	Cultural Dimensions in Global Management Practices
1381	18	4234	36	Lichen Diversity and Soil Crust Dynamics
1382	46	10353	44	Populism and Political Dynamics in Democracy
1383	26	7404	36	Digital Preservation and Open Data Management in Libraries
1384	11	6460	62	Cultural Narratives of Gender and Genre in Media
